station, date, air pollutant, t0, t1, t2, t3, t4, t5, t6, t7, t8, t9, t10, t11, t12, t13, t14, t15, t16, t17, t18, t19, t20, t21, t22, t23
Erlin, 2015/1/1,PM2.5,7,8,8,7,6,6,6,6,6,7,5,4,7,6,6,6,6,6,6,7,9,8,7,4
Erlin, 2015/1/2,PM2.5,5,5,6,5,5,4,4,4,4, ,,5,5,4,3,2,2,2,3,3,4,3,5,5
Erlin, 2015/1/3,PM2.5,5,5,6,5,6,6,6,6,5,6,5,5,4,4,3,3,2,3,2,3,2,3,4,5
Erlin, 2015/1/4,PM2.5,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3,3,2,2,1,2,2,5,5,6
Erlin, 2015/1/5,PM2.5,7,7,7,5,4,2,3,3,4,4,3,3,4,4,4,3,3,2,3,4,6,7,9,9
Erlin, 2015/1/6,PM2.5,9,7,6,6,5,3,2,2,3,3,4,6,5,4,4,2,2,1,2,2,3,3,4,4
Erlin, 2015/1/7,PM2.5,6,5,6,7,1,1,1,9,9,7,7,6,6,6,5,4,3,3,3,3,2,2,3,2
Erlin, 2015/1/8,PM2.5,3,2,3,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,7,7,7,8,8,8
Erlin, 2015/1/9,PM2.5,8,7,7,5,5,5,6,5,6,,5,4,3,3,5,4,4,3,3,4,5,5,6,5
Erlin, 2015/1/10,PM2.5,6,6,6,6,5,5,5,5,5,6,6,6,5,3,2,2,3,3,4,3,4,5,5,5
Erlin, 2015/1/11,PM2.5,4,4,4,5,4,4,4,5,5,5,6,7,6,5,3,3,3,4,3,3,3,4,4,5
Erlin, 2015/1/12,PM2.5,5,5,5,5,6,6,6,5,6,5,5,4,4,3,3,3,4,3,3,2,3,2,2,2
Erlin, 2015/1/13,PM2.5,3,4,5,6,6,7,6,6,5,4,2,2,1,1,1,1,1,2,2,3,3,3,3,2
Erlin, 2015/1/14,PM2.5,1,1,1,4,5,7,4,2,3,8,1,1,3,3,3,2,2,1,2,1,1,5,1,3
Erlin, 2015/1/15,PM2.5,2,2,2,3,2,2,2,2,3,3,3,3,4,3,3,3,3,4,5,4,4,4,4,3
Erlin, 2015/1/16,PM2.5,2,3,4,3,3,3,4,3,3,2,3,2,3,2,3,3,2,3,4,5,5,5,6,5
Erlin, 2015/1/17,PM2.5,5,5,5,4,4,4,4,5,6,6,6,6,6,6,3,3,6,7,8,9,9,1,1,1
Erlin, 2015/1/18,PM2.5,8,9,9,1,9,9,8,9,9,9,8,8,7,6,5,4,3,4,4,4,4,4,4,3
Erlin, 2015/1/19,PM2.5,3,2,2,1,3,2,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5
Erlin, 2015/1/20,PM2.5,5,5,6,7,7,6,6,6,6,6,6,6,6,6,6,5,4,4,4,5,5,6,8,9
Erlin, 2015/1/21,PM2.5,9,7,7,6,6,7,7,7,6,6,7,8,7,6,5,4,4,5,5,5,5,5,5,5
Erlin, 2015/1/22,PM2.5,4,5,5,5,4,5,4,5,4,4,3,4,4,4,3,4,4,5,6,7,7,7,9,9
Erlin, 2015/1/23,PM2.5,1,1,1,9,8,7,7,6,5,4,3,6,6,6,5,3,4,4,4,5,5,7,7,7
Erlin, 2015/1/24,PM2.5,6,6,5,5,4,4,4,5,5, ,5,5,5,4,3,2,3,3,5,6,7,7,8,9
Erlin, 2015/1/25,PM2.5,9,8,9,8,8,6,6,7,7,7,6,6,6,8,6,6,4,4,4,4,5,6,8,9
Erlin, 2015/1/26,PM2.5,9,9,9,1,9,9,7,6,5,5,6,6,6,4,3,2,1,1,2,3,4,5,6,7
Erlin, 2015/1/27,PM2.5,7,7,6,6,4,3,3,3,4,3,3,3,4,5,4,3,4,3,4,5,6,6,6,4
Erlin, 2015/1/28,PM2.5,5,4,5,4,4,4,4,4,4,3,3,4,4,4,3,1,8,2,3,4,4,4,3,3
Erlin, 2015/1/29,PM2.5,3,3,2,2,2,2,2,2,2,3,4,5,4,4,2,2,2,2,2,2,3,3,3,4
Erlin, 2015/1/30,PM2.5,4,4,4,4,6,5,5,4,5,4,4,4,4,3,3,3,4,4,4,3,2,2,2,2
Erlin, 2015/1/31,PM2.5,1,1,1,1,2,2,1,2,2,2,3,3,4,3,3,3,3,4,5,6,6,5,5,5
Erlin,2014/2/1,PM2.5,5,4,3,3,4,3,3,3,4,4,5,4,5,4,3,2,1,1,1,1,1,1,1,2
Erlin,2014/2/2,PM2.5,2,1,1,2,2,2,2,2,2,2,3,2,3,1,1,1,2,2,2,1,2,1,2,2
Erlin,2014/2/3,PM2.5,4,4,4,3,2,2,2,4,4,4,5,5,5,3,3,2,2,2,3,4,5,5,4,3
Erlin,2014/2/4,PM2.5,3,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3
Erlin,2014/2/5,PM2.5,3,3,4,4,5,4,4,5,5,5,5,5,6,6,8,8,9,1,1,1,1,1,1,1
Erlin,2014/2/6,PM2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,8,6,5,3,3,3,4,4,4
Erlin,2014/2/7,PM2.5,4,4,5,4,5,5,6,6,7,8,9,9,9,9,4,2,4,4,4,5,5,5,4,4
Erlin,2014/2/8,PM2.5,3,3,3,4,4,4,5,5,4,4,4,3,3,3,4,6,6,7,7,8,8,9,9,9
Erlin,2014/2/9,PM2.5,8,7,7,5,4,3,3,2,2,2,2,3,3,3,4,5,6,6,5,4,4,4,4,3
Erlin,2014/2/10,PM2.5,4,4,3,4,4,3,3,3,4,4,5,5,5,4,3,2,2,1,1,1,2,2,3,4
Erlin,2014/2/11,PM2.5,3,4,4,4,3,3,4,4,5,5,5,4,3,3,3,3,3,2,3,3,4,4,4,4
Erlin,2014/2/12,PM2.5,5,4,5,4,5,5,4,5,4,5,5,6,6,6,5,5,4,4,4,5,5,5,6,7
Erlin,2014/2/13,PM2.5,7,7,7,7,7,7,8,9,8,6,4,5,4,4,4,5,4,4,4,5,6,6,6,6
Erlin,2014/2/14,PM2.5,6,7,6,6,5,5,5,4,5,4,3,4,4,5,5,5,4,4,5,4,5,5,6,6
Erlin,2014/2/15,PM2.5,6,6,6,6,5,6,5,6,7,7,7,6,5,6,4,3,2,3,3,4,4,5,6,6
Erlin,2014/2/16,PM2.5,6,6,6,6,6,7,6,6,5,5,3,3,2,2,2,2,1,1,2,2,2,3,3,3
Erlin,2014/2/17,PM2.5,3,3,3,3,3,4,4,5,4,6,7,7,7,6,5,5,4,5,5,6,5,5,6,6
Erlin,2014/2/18,PM2.5,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,6,4,4,5,5,6,6,6,6
